,lambda(nm),T M45_LC,T M45_RC,T P45_LC,T P45_RC
160,438.596,0.167491,0.165954,0.165954,0.167491
161,437.063,0.165271,0.163683,0.163683,0.165271
162,435.54,0.163128,0.161486,0.161486,0.163128
163,434.028,0.161049,0.159388,0.159388,0.161049
164,432.526,0.159026,0.157376,0.157376,0.159026
165,431.034,0.157063,0.155417,0.155417,0.157063
166,429.553,0.155173,0.153496,0.153496,0.155173
167,428.082,0.153364,0.151633,0.151633,0.153364
168,426.621,0.151628,0.14986,0.14986,0.151628
169,425.17,0.149951,0.14818,0.14818,0.149951
170,423.729,0.148325,0.146567,0.146567,0.148325
171,422.297,0.146757,0.144991,0.144991,0.146757
172,420.875,0.145262,0.143454,0.143454,0.145262
173,419.463,0.143844,0.141986,0.141986,0.143844
174,418.06,0.14249,0.140608,0.140608,0.14249
175,416.667,0.14118,0.139305,0.139305,0.14118
176,415.282,0.139912,0.138043,0.138043,0.139912
177,413.907,0.1387,0.136806,0.136806,0.1387
178,412.541,0.137559,0.135614,0.135614,0.137559
179,411.184,0.136487,0.134497,0.134497,0.136487
180,409.836,0.135464,0.133459,0.133459,0.135464
181,408.497,0.134469,0.13247,0.13247,0.134469
182,407.166,0.133507,0.1315,0.1315,0.133507
183,405.844,0.132601,0.130551,0.130551,0.132601
184,404.531,0.131767,0.129658,0.129658,0.131767
185,403.226,0.130992,0.128844,0.128844,0.130992
186,401.929,0.130245,0.128088,0.128088,0.130245
187,400.641,0.129508,0.127349,0.127349,0.129508
188,399.361,0.128799,0.126613,0.126613,0.128799
189,398.089,0.128157,0.125915,0.125915,0.128157
190,396.825,0.127597,0.125294,0.125294,0.127597
191,395.57,0.12707,0.124736,0.124736,0.12707
192,394.322,0.126487,0.124153,0.124153,0.126487
193,393.082,0.125779,0.123451,0.123451,0.125779
194,391.85,0.124957,0.122612,0.122612,0.124957
195,390.625,0.124116,0.121732,0.121732,0.124116
196,389.408,0.123381,0.120957,0.120957,0.123381
197,388.199,0.122826,0.120377,0.120377,0.122826
198,386.997,0.122441,0.11997,0.11997,0.122441
199,385.802,0.122146,0.119638,0.119638,0.122146
200,384.615,0.121858,0.11929,0.11929,0.121858
201,383.436,0.121533,0.118906,0.118906,0.121533
202,382.263,0.121179,0.118517,0.118517,0.121179
203,381.098,0.120826,0.118156,0.118156,0.120826
204,379.939,0.120492,0.117816,0.117816,0.120492
205,378.788,0.120169,0.117467,0.117467,0.120169
206,377.644,0.119841,0.117093,0.117093,0.119841
207,376.506,0.119494,0.116708,0.116708,0.119494
208,375.375,0.119132,0.116337,0.116337,0.119132
209,374.251,0.118764,0.115988,0.115988,0.118764
